Name,ISIN,Coupon,Bid,Ask,Last,%,Avg. price,Exp.,CCY,Maturity
Danske-Stat-2020,DK0009923641,0.25,102.25,102.36,,0,102.35,15/11/2020,DKK,2020
Danske-Stat-2018,DK0009923484,0.25,100.96,101.12,101.02,-0.01,101.02,15/11/2018,DKK,2018
4St.l.17-GB,DK0009921942,4,100.57,100.67,100.6,-0.03,100.61,15/11/2017,DKK,2017
4St.l.19-GB,DK0009922403,4,109.82,109.93,109.88,-0.06,109.89,15/11/2019,DKK,2019
3St.l. 21-GB,DK0009922676,3,113.82,113.94,113.89,-0.1,113.95,15/11/2021,DKK,2021
DGBI-2023-GB,DK0009922916,0.1,107.41,107.81,107.63,-0.17,107.63,15/11/2023,DKK,2023
7-St.l-24-GB,DK0009918138,7,149.25,149.45,149.39,-0.29,149.49,15/11/2024,DKK,2024
Danske-Stat-2027,DK0009923567,0.5,99.43,99.59,99.52,-0.36,99.71,15/11/2027,DKK,2027
1-5St.l.23-GB,DK0009923054,1.5,109.37,109.51,109.38,-0.36,109.46,15/11/2023,DKK,2023
Danske-Stat-2025,DK0009923138,1.75,112.08,112.23,112.11,-0.46,112.39,15/11/2025,DKK,2025
4-5-St.l-39-GB,DK0009922320,4.5,167.49,167.87,167.84,-0.73,168.26,15/11/2039,DKK,2039
